Record_ID,Date,Day_of_Week,Month,Year,Season,Day_Type,Festival_Status,Festival_Flag,Donation_Source,Donor_ID,Repeat_Donor,Donation_Count_by_Donor,Food_Category,State,Shelter_ID,Shelter_Name,Shelter_Capacity,Meal_Type,Quantity_Received_kg,Quantity_Delivered_kg,Quantity_Wasted_kg,Spoilage_Rate_pct,No_of_People_Served,Expected_Beneficiaries,Prev_Week_Avg_Served,Surplus_Deficit_kg,Demand_Met_pct,Demand_Met,Distance_km,Transport_Mode,Transport_Cost_INR,Delivery_Time_min,Storage_Condition,Temp_at_Pickup_C,Rainfall_mm,Volunteer_Count,Volunteer_Organization,Advance_Notice_Hours,Beneficiary_Rating
REC-0253,2022-01-01,Saturday,January,2022,Winter,Weekend,,0,Wedding Hall,DNR-0007,1,3,Mixed,Rajasthan,SHL-009,Daya Niwas,310,Lunch,507.61,455.65,51.96,10.24,2324,258,1159.1,389.61,900.8,1,39.8,Truck,588.28,72,Room Temperature,32.1,9.5,7,Org_C,72.0,4.4
REC-0141,2022-01-08,Saturday,January,2022,Winter,Weekend,Pongal,1,Restaurant,DNR-0032,1,5,Mixed,Rajasthan,SHL-008,Karuna Ashram,350,Snack,453.94,385.12,68.82,15.16,1724,279,997.7,-262.5773906275114,263.4620124319121,0,30.5,Car,605.53,132,Room Temperature,38.3,12.1,4,Org_B,36.0,2.8
REC-0569,2022-01-09,Sunday,January,2022,Winter,Weekend,Pongal,1,Restaurant,DNR-0050,1,8,Cooked Meal,Delhi,SHL-008,Karuna Ashram,350,Snack,170.02,147.77,22.25,13.09,544,222,866.4,110.46,245.0,1,45.5,Truck,689.56,140,Room Temperature,30.4,13.0,12,Org_C,10.0,4.3
REC-0495,2022-01-14,Friday,January,2022,Winter,Weekday,Pongal,1,Hotel,DNR-0035,1,8,Cooked Meal,Uttar Pradesh,SHL-006,Asha Griha,220,Dinner,729.82,669.74,60.08,8.23,3111,168,1140.1,622.89,1851.8,1,32.2,Car,504.5,110,Refrigerated,31.4,16.7,7,Org_A,32.0,2.7
REC-0534,2022-01-14,Friday,January,2022,Winter,Weekday,Pongal,1,NGO Partner,DNR-0019,1,5,Mixed,Maharashtra,SHL-002,Umeed Niwas,250,Dinner,482.29,458.91,23.38,4.85,2536,175,1302.0,-392.94980935664955,803.608103237619,0,20.9,Van,269.14,89,Frozen,31.1,6.2,5,Org_A,,4.4
REC-0288,2022-01-15,Saturday,January,2022,Winter,Weekend,Pongal,1,Supermarket,DNR-0041,1,5,Raw Groceries,Karnataka,SHL-009,Daya Niwas,310,Breakfast,704.59,664.39,40.2,5.71,3780,170,1107.4,-614.0153342858553,967.6100454834659,0,28.3,Truck,414.32,119,Frozen,25.2,7.1,3,Org_B,20.0,3.8
REC-0231,2022-01-19,Wednesday,January,2022,Winter,Weekday,Pongal,1,School/College,DNR-0040,1,4,Packaged Food,Tamil Nadu,SHL-003,Seva Sadan,200,Breakfast,49.01,42.63,6.38,13.02,248,140,830.3,18.35,177.1,1,16.2,Auto-Rickshaw,192.1,179,Room Temperature,28.8,4.6,8,Org_E,49.0,3.7
REC-0185,2022-01-20,Thursday,January,2022,Winter,Weekday,Pongal,1,Restaurant,DNR-0030,1,4,Mixed,Delhi,SHL-002,Umeed Niwas,250,Snack,380.21,343.85,36.36,9.56,1896,182,1207.0,293.71,1041.8,1,4.4,Auto-Rickshaw,76.72,113,Room Temperature,30.5,10.9,13,Org_A,14.0,3.0
REC-0297,2022-01-20,Thursday,January,2022,Winter,Weekday,Pongal,1,Individual Donor,DNR-0010,1,4,Packaged Food,Gujarat,SHL-005,Annapurna Shelter,400,Breakfast,78.85,74.65,4.2,5.33,382,214,864.1,26.44,178.5,1,53.3,Truck,940.52,156,Frozen,32.1,10.8,9,Org_C,41.0,3.6
REC-0520,2022-01-20,Thursday,January,2022,Winter,Weekday,Pongal,1,Hotel,DNR-0039,1,12,Cooked Meal,Maharashtra,SHL-005,Annapurna Shelter,400,Dinner,494.15,457.1,37.05,7.5,1714,254,1051.6,411.25,674.8,1,9.8,Auto-Rickshaw,122.89,71,Refrigerated,35.7,19.3,9,Org_E,47.0,
REC-0198,2022-01-20,Thursday,January,2022,Winter,Weekday,Pongal,1,NGO Partner,DNR-0031,1,7,Mixed,Maharashtra,SHL-007,Prerna Niwas,270,Dinner,360.5,334.86,25.64,7.11,1207,234,878.0,-184.75912895286996,263.9240352537677,0,7.0,Van,79.52,122,Refrigerated,27.9,19.5,2,Org_E,19.0,4.6
REC-0437,2022-01-22,Saturday,January,2022,Winter,Weekend,,0,Wedding Hall,DNR-0045,1,8,Cooked Meal,Karnataka,SHL-010,Sahara Home,290,Lunch,301.87,274.48,27.39,9.07,1222,164,935.6,233.39,745.1,1,33.2,Car,360.21,22,Refrigerated,25.6,3.0,4,Org_B,36.0,3.2
REC-0556,2022-01-23,Sunday,January,2022,Winter,Weekend,,0,Individual Donor,DNR-0069,1,6,Packaged Food,Tamil Nadu,SHL-008,Karuna Ashram,350,Dinner,224.36,210.79,13.57,6.05,775,298,1027.9,144.66,260.1,1,46.5,Auto-Rickshaw,885.38,70,Refrigerated,27.0,4.9,13,Org_A,7.0,4.1
REC-0333,2022-01-24,Monday,January,2022,Winter,Weekday,,0,Temple/Gurudwara,DNR-0020,1,9,Cooked Meal,Maharashtra,SHL-005,Annapurna Shelter,400,Breakfast,41.74,40.05,1.69,4.06,208,263,938.1,-6.74,79.1,0,15.3,Bike,296.3,98,Frozen,31.7,18.7,4,Org_E,7.0,4.7
REC-0189,2022-01-25,Tuesday,January,2022,Winter,Weekday,,0,NGO Partner,DNR-0070,1,6,Cooked Meal,Delhi,SHL-003,Seva Sadan,200,Snack,176.1,153.27,22.83,12.97,657,185,755.3,121.18,355.1,1,38.6,Car,437.06,59,Room Temperature,28.9,3.2,14,Org_C,10.0,
REC-0562,2022-01-28,Friday,January,2022,Winter,Weekday,,0,Hotel,DNR-0032,1,9,Cooked Meal,Maharashtra,SHL-010,Sahara Home,290,Breakfast,141.27,125.43,15.84,11.21,596,287,1207.0,48.76,207.7,1,53.6,Bike,623.73,173,Refrigerated,34.1,3.1,2,Org_D,18.0,4.1
REC-0558,2022-01-30,Sunday,January,2022,Winter,Weekend,,0,NGO Partner,DNR-0022,1,7,Raw Groceries,Gujarat,SHL-002,Umeed Niwas,250,Lunch,103.54,99.45,4.09,3.95,439,138,1603.9,-83.054671064577,132.58801865830452,0,39.2,Van,370.69,26,Frozen,29.0,16.0,10,Org_B,14.0,5.0
REC-0319,2022-01-31,Monday,January,2022,Winter,Weekday,,0,Corporate Canteen,DNR-0006,1,3,Mixed,Rajasthan,SHL-010,Sahara Home,290,Breakfast,95.92,85.92,10.0,10.42,365,226,1046.3,-46.53482620029337,114.61879918388198,0,5.5,Truck,53.05,163,Refrigerated,41.2,3.1,13,Org_A,20.0,4.0
REC-0518,2022-02-02,Wednesday,February,2022,Winter,Weekday,,0,Corporate Canteen,DNR-0053,1,4,Mixed,Maharashtra,SHL-010,Sahara Home,290,Snack,143.92,132.79,11.13,7.73,737,179,1160.1,97.9,411.7,1,34.8,Van,447.61,157,Refrigerated,23.4,7.5,14,Org_B,51.0,4.0
REC-0446,2022-02-06,Sunday,February,2022,Winter,Weekend,,0,Restaurant,DNR-0057,1,9,Cooked Meal,West Bengal,SHL-002,Umeed Niwas,250,Snack,456.83,394.59,62.24,13.63,2078,156,777.9,360.8,1332.1,1,49.5,Truck,469.33,132,Room Temperature,29.6,9.5,2,Org_D,23.0,3.0
REC-0315,2022-02-09,Wednesday,February,2022,Winter,Weekday,,0,Corporate Canteen,DNR-0035,1,5,Mixed,Maharashtra,SHL-009,Daya Niwas,310,Breakfast,128.31,120.06,8.25,6.43,661,309,1402.3,-19.34205751536224,111.4840105730193,0,40.8,Auto-Rickshaw,765.75,47,Refrigerated,34.5,3.9,13,Org_C,2.0,4.1
REC-0087,2022-02-12,Saturday,February,2022,Winter,Weekend,,0,NGO Partner,DNR-0014,1,3,Packaged Food,Tamil Nadu,SHL-010,Sahara Home,290,Snack,303.08,286.47,16.61,5.48,1430,193,1112.7,-226.51791834760604,392.029940454712,0,3.8,Bike,35.26,77,Refrigerated,28.4,11.9,11,Org_D,52.0,2.7
REC-0204,2022-02-14,Monday,February,2022,Winter,Weekday,,0,Wedding Hall,DNR-0006,1,2,Packaged Food,Gujarat,SHL-008,Karuna Ashram,350,Lunch,554.68,474.18,80.5,14.51,1941,264,1173.3,403.98,735.2,1,33.0,Van,416.27,133,Room Temperature,34.9,,4,Org_A,56.0,3.7
REC-0341,2022-02-14,Monday,February,2022,Winter,Weekday,,0,Restaurant,DNR-0021,1,9,Raw Groceries,Gujarat,SHL-009,Daya Niwas,310,Dinner,207.97,192.71,15.26,7.34,961,269,1019.9,-172.93585338828126,243.99565834268415,0,12.6,Bike,200.4,19,Room Temperature,28.5,19.6,12,Org_D,46.0,3.8
