Date,Donation Source,State,Quantity Received (kg),Quantity Delivered (kg),No. of People Served,Shelter Name
2024-01-01,Community Center,Jammu & Kashmir,5.37,5.24,5,"Dal Kinara Shelter, Srinagar"
2024-01-01,Marriage Hall,Punjab,5.34,5.17,5,"Guru Nanak Seva Sadan, Amritsar"
2024-01-01,Student Mess,Delhi,5.47,5.28,5,"Dil Se Sewa Kendra, Rohini"
2024-01-01,Local Bakery,Uttarakhand,10.33,9.85,9,"Pahadi Niwas, Haridwar"
2024-01-01,Food Corner,Haryana,13.63,13.21,14,"Priya Niwas, Faridabad"
2024-01-01,Hotel Plaza,Uttarakhand,25.77,24.67,23,"Pahadi Niwas, Haridwar"
2024-01-02,Local Bakery,Haryana,5.27,5.04,5,"Aanchal Shelter, Gurugram"
2024-01-02,Hotel Plaza,Uttarakhand,15.9,15.17,15,"Mandakini Ashram, Rudraprayag"
2024-01-02,City Restaurant,Delhi,22.96,22.14,23,"Aasra Shelter Home, Paharganj"
2024-01-03,NGO Kitchen,Uttar Pradesh,5.34,5.12,6,"Vrindavan Aasra, Mathura"
2024-01-03,Food Corner,Rajasthan,15.94,15.43,14,"Aravalli Niwas, Ajmer"
2024-01-03,Marriage Hall,Punjab,20.47,19.8,18,"Guru Nanak Seva Sadan, Amritsar"
2024-01-03,City Restaurant,Punjab,23.77,23.19,21,"Guru Nanak Seva Sadan, Amritsar"
2024-01-04,Campus Canteen,Haryana,5.5,5.38,5,"Aanchal Shelter, Gurugram"
2024-01-04,Community Center,Haryana,5.66,5.51,5,"Priya Niwas, Faridabad"
2024-01-04,Student Mess,Jammu & Kashmir,6.7,6.45,6,"Jhelum Seva Sadan, Jammu"
2024-01-04,Local Bakery,Delhi,17.7,16.86,16,"Umeed Ghar, Saket"
2024-01-04,NGO Kitchen,Himachal Pradesh,21.28,20.47,19,"Dharamsala Shelter, Dharamsala"
2024-01-04,Food Corner,Rajasthan,20.46,19.82,20,"Rajwada Relief Home, Jaipur"
2024-01-05,Campus Canteen,Himachal Pradesh,5.15,5.0,5,"Dharamsala Shelter, Dharamsala"
2024-01-05,NGO Kitchen,Rajasthan,5.43,5.22,5,"Thar Seva Sadan, Jodhpur"
2024-01-05,Local Bakery,Rajasthan,16.79,16.42,17,"Bikaner Shelter Trust, Bikaner"
2024-01-05,Community Center,Rajasthan,16.3,15.97,18,"Aravalli Niwas, Ajmer"
2024-01-05,Student Mess,Delhi,22.69,21.68,20,"Snehi Niwas, Dwarka"
2024-01-06,Local Bakery,Himachal Pradesh,5.38,5.24,5,"Manali Niwas, Manali"
2024-01-06,Food Corner,Himachal Pradesh,4.43,4.25,5,"Dharamsala Shelter, Dharamsala"
2024-01-06,Marriage Hall,Delhi,7.58,7.32,8,"Dil Se Sewa Kendra, Rohini"
2024-01-06,City Restaurant,Jammu & Kashmir,16.04,15.46,18,"Dal Kinara Shelter, Srinagar"
2024-01-06,Corporate Office,Jammu & Kashmir,23.55,22.59,25,"Jhelum Seva Sadan, Jammu"
2024-01-06,Student Mess,Uttar Pradesh,24.94,24.07,27,"Agra Relief Center, Agra"
2024-01-07,Campus Canteen,Punjab,4.62,4.5,5,"Vatsal Niwas, Jalandhar"
2024-01-07,Community Center,Uttarakhand,8.33,8.14,9,"Shivalik Aasra, Rishikesh"
